id,fold,true_label,predicted_label,score,margin,correct,text
253,5,software_ecosystem,device_hardware,-0.206606,0.082938,0,We were so excited to get the tap since it was a larger speaker than the dot and unlike the echo has a battery charger with it to make it portable. We already have an echo which works perfectly in our home. When listening to online radio on the tap it cut in and out constantly. We returned it and exchanged gor the dot.
666,1,device_hardware,software_ecosystem,-0.21286,0.274148,0,It's very tin sounding no bass sounds terrible bought a bose sound link and a amazon dot to hook up to it
701,3,software_ecosystem,software_ecosystem,-0.062698,0.383627,1,I spent more time trying get it functioning than I did actually keeping this product. After a couple of days and never getting it to understand or follow my commands I returned it to BB. Also it kept trying to sell me products which I really didn't appreciate.
773,2,commercial_service,device_hardware,-0.127165,0.449694,0,I bought this thinking that I needed it but I didnt so it was a waste of money. I do so hate to waste money. the Kindle can hook to a regular cell phone charger and it comes with a cable that connects to the computer. For some reason I thought I just had to have this too when I bought my Kindle.
775,3,software_ecosystem,device_hardware,-0.074527,0.370814,0,"No reason. This product is described as 5W, 1 amp. The Kindle line is mainly 5V (4.8V, what's the difference) and around 1 amp, which is 5 Watts (5W). Why the mystery, guys Also, this deal is for US 110V market only I travel. I like that the previous simple FIRE charger was universal (i.e. 100V-240v). I like that the first Kindle charger was also universal. What are you people doing Or, is it that the copywriter in this case just doesn't understandFor those who don't understand the details of electricity, ANY device will tell you what it needs to feed. Voltage (V) is one thing to look at and your charger needs to say something within the range of 100 and 240 volts to meet your device need. As far as AMPS (A). If your device says it needs 1.8 A. It's perfectly fine to buy a charger that has a rating higher than that. Like 2 Amps. The device will only drink as much as it needs. A device that needs 1.8 A plugged into a 2 A charger just means the charger is taking a nap. Just avoid situations where your device needs more Amps than a charger can provide. It won't necessarily explode but it will extend charge times and is generally not recommended."
882,3,device_hardware,device_hardware,0.075449,0.77962,1,"Very disappointed that my Kindle Voyage, purchased in April, failed after just two uses. Went to charge it tonight to take on a business trip and it won't charge, won't reset, etc. Since my Best Buy receipt says I only have 15 days to return it, tried calling Amazon support. Their only solution after over 30 minutes on the phone is to process a replacement which may be a new or may be a refurbished device-- unacceptable to replace a less than 2-month old device with a refurbished one... but, given the poor experience I've had with the Voyage, I'm not even comfortable with a 'new' replacement at this point. Amazon says they can't do anything about a refund because I purchased from Best Buy-- 15 days seems a little extreme in a situation like this with a defective product!Stuck with a $200 paperweight :-("
1563,1,usability,device_hardware,-0.174339,0.347114,0,"I purchased 2 of these as Christmas gifts for our niece and nephew. We decided to unbox them and charge them up to be ready for Christmas day. After opening them, discovered they will not allow you to install any free apps or use them for much unless registered with an Amazon account and credit or gift card. I had absolutely no interest in giving a 4 and 7 year old access to one click shopping on my account so we returned these for android type kids tablets. There may be some way around this restriction, but I didn't find it."
1717,5,software_ecosystem,software_ecosystem,-0.247356,0.357499,1,"I bought this to replace a 3-year old Kindle Fire 7"" HDX that I had just dropped on the floor. I sort of panicked, so after doing a couple of hours of research I picked this tablet. Just to be on the safe side I got 16 additional GB of memory. I installed a couple of games (none of them memory hogs) and a cookbook app, in addition to downloading a couple of books and dictionaries. I can honestly say this is the slowest tablet I've ever had. Just rotating the screen takes 7-10 seconds, and that's if there's only one app open. Opening a book or magazine can take half a minute, and God help you if you want to switch between a recipe and a magazine while you're cooking! Amazon is obviously more concerned about showing you constant special offers and apps than having satisfied customers. Since there are no other Fire tablets available for whatever reason (maybe they're being discontinued?) I'll be replacing it with either an iPad or a Galaxy tablet."
1754,4,device_hardware,device_hardware,-0.403399,0.050352,1,"I have never had so many issues with a kindle and I have purchased alot. It's slow. It shuts off whenever it wants, the sd card dosent read half the time. And when it does it seems to be downloading it. And it deleted apps off my other kids kindle or adds when I do ... very very stupid . It has cracked . And I have never dropped it . It isn't made well. I am going to return it and I will probably never buy another kindle . HORRIBLE"
4167,3,other_unclear,device_hardware,-0.199388,0.322282,0,"not good, hate it , never buy it again, sucks. done"
